year,month,Yield Amount,temp_min,temp_max
2020,8,170.6,244,289
2022,7,196,244,289
2023,7,217.4,244,294
2020,6,170.6,244,294
2017,8,230,256,278
2016,8,180.7,250,256
2022,8,192.3,250,300
2014,9,199.3,256,283
2022,5,192.3,250,278
2022,8,192.3,244,289
2022,8,192.3,244,289
2022,8,192.3,244,300
2010,6,147.3,250,300
2020,6,171.8,244,289
2022,8,192.3,244,300
2011,7,157.5,244,300
2021,6,213.3,244,289
2010,6,147.3,244,294
2020,8,171.8,244,300
2020,6,171.8,244,289
2018,7,192.3,244,300
2020,6,171.8,244,300
2022,6,192.3,244,300
2015,6,137.7,244,294
2016,9,180.7,244,294
2020,8,212.9,244,289
2022,7,194,244,289
2023,7,210.1,244,294
2020,6,212.9,244,294
2017,8,143.8,256,278
2016,8,232.5,250,256
2022,8,233.9,250,300
2014,9,197.4,256,283
2022,5,233.9,250,278
2022,8,233.9,244,289
2022,8,233.9,244,289
2022,8,233.9,244,300
2010,6,162.1,250,300
2020,6,197.6,244,289
2022,8,233.9,244,300
2011,7,166.7,244,300
2021,6,211.4,244,289
2010,6,162.1,244,294
2020,8,197.6,244,300
2020,6,197.6,244,289
2018,7,225.4,244,300
2020,6,197.6,244,300
2022,6,233.9,244,300
2015,6,188.7,244,294
2016,9,232.5,244,294
2020,8,200.2,244,289
2022,7,216,244,289
2023,7,225.9,244,294
2020,6,200.2,244,294
2017,8,221.9,256,278
2016,8,227.1,250,256
2022,8,204.2,250,300
2014,9,190.2,256,283
2022,5,204.2,250,278
2022,8,204.2,244,289
2022,8,204.2,244,289
2022,8,204.2,244,300
2010,6,172,250,300
2020,6,178.8,244,289
2022,8,204.2,244,300
2011,7,172.4,244,300
2021,6,208.6,244,289
2010,6,172,244,294
2020,8,178.8,244,300
2020,6,178.8,244,289
2018,7,173.4,244,300
2020,6,178.8,244,300
2022,6,204.2,244,300
2015,6,164.9,244,294
2016,9,227.1,244,294
2020,8,210.4,244,289
2022,7,193.3,244,289
2023,7,208.3,244,294
2020,6,210.4,244,294
2017,8,170.1,256,278
2016,8,229.4,250,256
2022,8,167.5,250,300
2014,9,182.7,256,283
2022,5,167.5,250,278
2022,8,167.5,244,289
2022,8,167.5,244,289
2022,8,167.5,244,300
2010,6,157.8,250,300
2020,6,162.6,244,289
2022,8,167.5,244,300
2011,7,164.1,244,300
2021,6,190.4,244,289
2010,6,157.8,244,294
2020,8,162.6,244,300
2020,6,162.6,244,289
2018,7,170.1,244,300
2020,6,162.6,244,300
2022,6,167.5,244,300
2015,6,142.6,244,294
2016,9,229.4,244,294
2020,8,189.7,244,289
2022,7,203.1,244,289
2023,7,214,244,294
2020,6,189.7,244,294
2017,8,148,256,278
2016,8,217.8,250,256
2022,8,221.2,250,300
2014,9,193.8,256,283
2022,5,221.2,250,278
2022,8,221.2,244,289
2022,8,221.2,244,289
2022,8,221.2,244,300
2010,6,188.3,250,300
2020,6,194.1,244,289
2022,8,221.2,244,300
2011,7,185.4,244,300
2021,6,199.1,244,289
2010,6,188.3,244,294
2020,8,194.1,244,300
2020,6,194.1,244,289
2018,7,209.7,244,300
2020,6,194.1,244,300
2022,6,221.2,244,300
2015,6,224.8,244,294
2016,9,217.8,244,294
2020,8,165.3,244,289
2022,7,207.5,244,289
2023,7,218.8,244,294
2020,6,165.3,244,294
2017,8,190.3,256,278
2016,8,205.7,250,256
2022,8,170.7,250,300
2014,9,183.5,256,283
2022,5,170.7,250,278
2022,8,170.7,244,289
2022,8,170.7,244,289
2022,8,170.7,244,300
2010,6,173.6,250,300
2020,6,178.2,244,289
2022,8,170.7,244,300
2011,7,153,244,300
